time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/10/20/22:08:07.696417,0,1666328887,695945714,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.715721,1,1666328887,714627089,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.734951,2,1666328887,734600593,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.754901,3,1666328887,754617307,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.775045,4,1666328887,774607493,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.794909,5,1666328887,794610682,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.814909,6,1666328887,814605363,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.834820,7,1666328887,834598391,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.854911,8,1666328887,854691000,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.874805,9,1666328887,874607796,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.894852,10,1666328887,894612968,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.914853,11,1666328887,914610800,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.934917,12,1666328887,934610077,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.956051,13,1666328887,955698640,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.974952,14,1666328887,974606387,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:07.995031,15,1666328887,994615170,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:08.015375,16,1666328888,15073987,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:08.034847,17,1666328888,34607943,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:08:08.054875,18,1666328888,54608929,base_link,0.0,0.0,0.0,0.0,0.0,0.0
