time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/09/13/22:01:45.220250,447170,1663131705,218779833,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.16931659380068, -0.7080607575229187, -0.14228517213930303, -0.4616878789714356, -0.04359466234316045, -3.1671183745013636)","(-0.0, 0.0, 0.0, 0.0, -4.963474964370107e-08, 0.0)","(-2.3420889377593994, -5.117928981781006, -0.14297540485858917, -0.16861936450004578, -0.13885441422462463, 0.23537705838680267)"
2022/09/13/22:01:45.221511,447171,1663131705,220763706,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692670027362269, -0.7080620688251038, -0.1423118750201624, -0.4617142242244263, -0.04358226457704717, -3.1670926252948206)","(-0.0, 0.0, 0.0, 0.0, -3.240794743675224e-09, 0.0)","(-2.3435816764831543, -5.107272148132324, -0.1740180402994156, -0.1631315052509308, -0.14250871539115906, 0.23533591628074646)"
2022/09/13/22:01:45.223187,447172,1663131705,222744515,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692794005023401, -0.7081113618663331, -0.14226133028139287, -0.4616536659053345, -0.043569389973775685, -3.1670811812030237)","(-0.0, 0.0, 0.0, 0.0, -2.1160075081017027e-10, 0.0)","(-2.404968500137329, -5.096214294433594, -0.20052173733711243, -0.16595359146595, -0.14625680446624756, 0.2384302020072937)"
2022/09/13/22:01:45.225466,447173,1663131705,224741487,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692794005023401, -0.7081114214709778, -0.14227325121034795, -0.4617003959468384, -0.04358226457704717, -3.1670921484576624)","(-0.0, 0.0, 0.0, 0.0, -1.3816017774281875e-11, 0.0)","(-2.392306089401245, -5.088255405426025, -0.15582147240638733, -0.16052496433258057, -0.1362365186214447, 0.23636801540851593)"
2022/09/13/22:01:45.227110,447174,1663131705,226742425,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692917982684534, -0.7080858510783692, -0.14229900041689092, -0.4617142242244263, -0.04359466234316045, -3.1670690218554896)","(-0.0, 0.0, 0.0, 0.0, -9.020872699001814e-13, 0.0)","(-2.3617019653320312, -5.067934036254883, -0.17179225385189056, -0.17132467031478882, -0.142221599817276, 0.22724884748458862)"
2022/09/13/22:01:45.229417,447175,1663131705,228733608,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692798773394983, -0.7080480617335816, -0.14228612581361944, -0.461688832645752, -0.04358369508852178, -3.1670799891101282)","(-0.0, 0.0, 0.0, 0.0, -5.8899845450152e-14, 0.0)","(-2.351316213607788, -5.0877685546875, -0.13210435211658478, -0.15734900534152985, -0.13949649035930634, 0.2473072111606598)"
2022/09/13/22:01:45.231047,447176,1663131705,230736669,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692917982684534, -0.7080615919879456, -0.14228564897646123, -0.46166403711352544, -0.04358226457704717, -3.167105738316671)","(-0.0, 0.0, 0.0, 0.0, -3.845739644705443e-15, 0.0)","(-2.35453200340271, -5.124696731567383, -0.1815940886735916, -0.15459325909614563, -0.15602876245975494, 0.2387339472770691)"
2022/09/13/22:01:45.233333,447177,1663131705,232734281,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692803541766565, -0.7080610555461426, -0.14228564897646123, -0.46164007604632573, -0.04359466234316045, -3.167055908833639)","(-0.0, 0.0, 0.0, 0.0, -2.510992908537319e-16, 0.0)","(-2.363497018814087, -5.089760780334473, -0.17188414931297302, -0.15642717480659485, -0.13403579592704773, 0.22484177350997925)"
2022/09/13/22:01:45.234968,447178,1663131705,234716270,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692913214312952, -0.7080993813327332, -0.14227229753603154, -0.4617266219905396, -0.04355842271913701, -3.1670685450183313)","(-0.0, 0.0, 0.0, 0.0, -1.63949894016807e-17, 0.0)","(-2.394042730331421, -5.124885559082031, -0.14623002707958221, -0.16633477807044983, -0.13085953891277313, 0.23225852847099304)"
2022/09/13/22:01:45.237110,447179,1663131705,236721867,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692798773394983, -0.7081243556788941, -0.1422370115863245, -0.46166475236926274, -0.043569389973775685, -3.1670809427844446)","(-0.0, 0.0, 0.0, 0.0, -1.0704756272080698e-18, 0.0)","(-2.3495073318481445, -5.076732635498047, -0.1791701316833496, -0.17248429358005524, -0.14866125583648682, 0.23604854941368103)"
