Elbow joint,Shoulder lift joint,Shoulder pan joint,Wrist 1 joint,Wrist 2 joint,Wrist 3 joint
1.819809262,-1.255253957,0.152823344,-0.561840491,0.936172724,-3.140470091
1.819795911,-1.255228416,0.152785987,-0.561888651,0.936182797,-3.140455786
1.819833104,-1.255240725,0.152785212,-0.561862306,0.936184108,-3.14044315
1.819795434,-1.255252675,0.152822822,-0.561859922,0.93617022,-3.14043266
1.819808785,-1.255227552,0.152835697,-0.561873631,0.936196148,-3.140419547
1.81978399,-1.255214767,0.152798519,-0.56186171,0.936197281,-3.140396897
1.819785897,-1.255190389,0.15282397,-0.561838703,0.936184704,-3.14039642
1.819796387,-1.255277769,0.152836338,-0.561839895,0.936209381,-3.140433375
1.819807831,-1.25521587,0.1527863,-0.561862306,0.936209559,-3.140418832
1.819820229,-1.255239503,0.152798831,-0.561812357,0.936207712,-3.14039499
1.819770638,-1.255240367,0.152836055,-0.561836914,0.93619585,-3.140408341
1.819796864,-1.255265431,0.152798444,-0.561788039,0.936209798,-3.140420262
1.819771592,-1.255253212,0.152797922,-0.561850862,0.936169803,-3.140395705
1.819822137,-1.255240278,0.152786672,-0.561863975,0.936171532,-3.140420739
1.81978399,-1.255178825,0.152822554,-0.561777548,0.936222434,-3.14039642
1.819796387,-1.255264507,0.152848437,-0.56188889,0.936209679,-3.140408103
1.819795434,-1.255251573,0.152797669,-0.561849551,0.936196685,-3.140446011
1.819821183,-1.255215929,0.152799189,-0.561823563,0.936206758,-3.14043409
1.819795911,-1.255203353,0.152824298,-0.561824993,0.936157584,-3.140433375
1.819784943,-1.255242155,0.15277344,-0.56179078,0.936172247,-3.140381638
1.81978542,-1.25521432,0.152797982,-0.5618511,0.936174214,-3.14040858
1.819771592,-1.255226956,0.152786627,-0.561838941,0.936211288,-3.14039642
1.819784466,-1.255202846,0.152799577,-0.561838822,0.936160684,-3.140409295
1.819784466,-1.25520523,0.152823299,-0.561839656,0.936184287,-3.140444342
1.819796387,-1.25524287,0.152799323,-0.561862664,0.936171472,-3.140420262
1.819797341,-1.255216376,0.152786851,-0.561800913,0.936172068,-3.140407626
1.819796864,-1.255215691,0.152798682,-0.561837987,0.936185479,-3.140407626
1.819772545,-1.255252675,0.152799487,-0.561838822,0.936148763,-3.14039642
1.819785897,-1.255216734,0.152799487,-0.561826901,0.936173677,-3.140445058
1.819797341,-1.255204276,0.15278548,-0.56187673,0.936172605,-3.140407387
1.819810216,-1.25521584,0.152812615,-0.56184967,0.936185241,-3.140420977
1.819808308,-1.255278305,0.152785495,-0.561826305,0.936146915,-3.140396897
1.819795434,-1.255189852,0.152824327,-0.561849789,0.936160564,-3.140408818
1.819808785,-1.255240248,0.152773201,-0.561837749,0.936172605,-3.140409295
1.819772545,-1.255266504,0.152786568,-0.561849789,0.9361853,-3.140446011
1.819796864,-1.255252407,0.152812034,-0.561837868,0.936173975,-3.140409533
1.819796387,-1.255228506,0.152835831,-0.561838107,0.936173975,-3.140394751
1.819784943,-1.255201594,0.152824432,-0.561864213,0.936197519,-3.140430991
1.819809262,-1.255265163,0.15282321,-0.561875657,0.936197102,-3.140408103
1.819809262,-1.255227969,0.152822599,-0.561851935,0.936206698,-3.140384022
1.819807831,-1.255215005,0.152810216,-0.561888413,0.93618387,-3.140433613
1.819794957,-1.255228804,0.152787849,-0.561860279,0.936183572,-3.140383069
1.819770638,-1.255288617,0.152799055,-0.561874465,0.936134279,-3.140420739
1.81978542,-1.255226598,0.152811036,-0.561875777,0.936173379,-3.140433137
1.819772069,-1.255241112,0.152798429,-0.56183906,0.936210454,-3.140395943
1.819796864,-1.255216048,0.152836263,-0.561839418,0.936172307,-3.140396659
1.81982166,-1.255214737,0.152809665,-0.561877684,0.936195314,-3.1404205
1.819808785,-1.255239413,0.152797297,-0.561873989,0.93619436,-3.140408103
1.819821183,-1.255289988,0.152823731,-0.561909632,0.936208546,-3.140396182
1.819784943,-1.255264179,0.152811944,-0.561848597,0.936135769,-3.140407864
1.819796387,-1.255202369,0.152798861,-0.561837987,0.936148524,-3.140420262
1.819796387,-1.255239026,0.152799442,-0.561786489,0.936173618,-3.140419785
1.819733922,-1.255165653,0.152824342,-0.561786727,0.936198235,-3.140396659
1.819784943,-1.255204008,0.152785018,-0.561750965,0.93617326,-3.140396659
1.819748704,-1.255252914,0.15278548,-0.561776833,0.936208725,-3.140432183
1.819749657,-1.25521587,0.152810395,-0.561766343,0.936157703,-3.140433613
1.819760148,-1.255177484,0.152786866,-0.561778979,0.936159849,-3.140408103
1.819760148,-1.255178706,0.152799129,-0.561779456,0.936175823,-3.14043266
1.819747273,-1.255203412,0.152824298,-0.561801986,0.936163008,-3.140419785
1.819749657,-1.255191789,0.152812108,-0.561753826,0.936185896,-3.140383784
1.819761578,-1.255242036,0.152836099,-0.561805086,0.936157584,-3.140396182
1.819786851,-1.255215721,0.152784809,-0.561829881,0.936170936,-3.140383546
1.819773499,-1.2552038,0.152773649,-0.561803655,0.936195314,-3.140421454
1.81978542,-1.255204068,0.152810857,-0.561827855,0.936160922,-3.140383784
1.81978542,-1.255228118,0.152824402,-0.56182702,0.936149061,-3.140382592
1.819786374,-1.255204902,0.15281111,-0.561827855,0.936172664,-3.140434567
1.819823567,-1.255229251,0.152836338,-0.561863498,0.93614763,-3.140408818
1.819760148,-1.255241589,0.152837232,-0.561850862,0.936161935,-3.140433137
1.81978542,-1.255240248,0.152822882,-0.561886982,0.936197639,-3.140422169
1.819796387,-1.255214975,0.152773783,-0.561850743,0.93619895,-3.140421693
1.819796387,-1.255241053,0.152848348,-0.561850743,0.936187267,-3.1404205
1.819795434,-1.255202965,0.152810112,-0.56184967,0.936247826,-3.140433852
1.81978399,-1.255228953,0.152797952,-0.561813549,0.936245978,-3.140431945
1.819784943,-1.255240725,0.152810514,-0.561863856,0.936271131,-3.140370194
