,Resolution,4,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,Unique Timestamp,Force.z
2022/10/20/21:26:55.790641,2022/10/20/21:26:55.79,2410150,1666326415,789974421,tool0_controller,0.036019237,1.420020334,0.33504787,0.146364024,-0.016650104,0.006111225,2022/10/20/21:26:55.79,0.33504787
2022/10/20/21:26:55.793705,2022/10/20/21:26:55.79,2410151,1666326415,791978366,tool0_controller,0.00662472,0.801305964,-0.238855321,0.114926498,-0.05021131,0.014957364,2022/10/20/21:26:55.80,1.567804713
2022/10/20/21:26:55.794823,2022/10/20/21:26:55.79,2410152,1666326415,794302492,tool0_controller,-0.283415753,0.741339598,-0.005529351,0.134240541,-0.061110003,0.025367829,2022/10/20/21:26:55.81,0.622441961
2022/10/20/21:26:55.796479,2022/10/20/21:26:55.79,2410153,1666326415,795823511,tool0_controller,-0.254975945,0.975180003,0.116028133,0.182075771,-0.051959244,0.027562629,2022/10/20/21:26:55.82,1.076436858
2022/10/20/21:26:55.797575,2022/10/20/21:26:55.79,2410154,1666326415,797134261,tool0_controller,0.05305916,0.839851426,0.312997188,0.211621178,-0.031528746,0.028332759,2022/10/20/21:26:55.83,0.213034466
2022/10/20/21:26:55.798705,2022/10/20/21:26:55.79,2410155,1666326415,798425657,tool0_controller,0.161833058,0.85708155,1.19740269,0.185754672,-0.025332246,0.024879201,2022/10/20/21:26:55.84,0.596092155
2022/10/20/21:26:55.800414,2022/10/20/21:26:55.80,2410156,1666326415,799744513,tool0_controller,0.115437482,1.386657728,1.567804713,0.161743237,-0.028395371,0.018036064,2022/10/20/21:26:55.85,0.715266339
2022/10/20/21:26:55.801516,2022/10/20/21:26:55.80,2410157,1666326415,801057714,tool0_controller,0.457751391,1.359013528,1.397134697,0.152257681,-0.03129708,-0.002749057,2022/10/20/21:26:55.86,1.374640693
2022/10/20/21:26:55.802649,2022/10/20/21:26:55.80,2410158,1666326415,802518011,tool0_controller,0.275265239,1.607872833,1.111623628,0.159827214,-0.014391307,-0.004529176,2022/10/20/21:26:55.87,1.231427171
2022/10/20/21:26:55.804396,2022/10/20/21:26:55.80,2410159,1666326415,803772964,tool0_controller,0.015540384,1.490146133,0.679646681,0.162203025,-0.003875162,0.007899986,2022/10/20/21:26:55.88,0.780296178
2022/10/20/21:26:55.805500,2022/10/20/21:26:55.80,2410160,1666326415,805082507,tool0_controller,-0.291436203,1.242122162,0.865308312,0.165388204,-0.01791727,0.012225217,2022/10/20/21:26:55.89,1.334787219
2022/10/20/21:26:55.806620,2022/10/20/21:26:55.80,2410161,1666326415,806335358,tool0_controller,-0.522055564,0.794514616,0.778143113,0.175841519,-0.027640726,0.024434992,2022/10/20/21:26:55.90,-0.144202077
2022/10/20/21:26:55.807763,2022/10/20/21:26:55.80,2410162,1666326415,807582693,tool0_controller,-0.593875451,0.66980262,0.657739705,0.177598089,-0.033174807,0.023612453,2022/10/20/21:26:55.91,2.298430486
2022/10/20/21:26:55.809446,2022/10/20/21:26:55.80,2410163,1666326415,808857766,tool0_controller,-0.686672785,0.755139864,0.417196408,0.16940823,-0.017182743,0.010347918,2022/10/20/21:26:55.92,0.849982326
2022/10/20/21:26:55.810578,2022/10/20/21:26:55.81,2410164,1666326415,810102705,tool0_controller,-0.595301363,0.871024049,0.622441961,0.165098192,-0.018649983,0.01132071,2022/10/20/21:26:55.93,0.519415653
2022/10/20/21:26:55.811713,2022/10/20/21:26:55.81,2410165,1666326415,811350683,tool0_controller,-0.457772611,1.200595157,0.774617273,0.163889963,-0.010066743,0.007747046,2022/10/20/21:26:55.94,-0.201103248
