,resolution,4,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,Unique timestamp,Force.z
2022/10/20/22:00:00.845821,2022/10/20/22:00:00.84,3398913,1666328400,845297100,tool0_controller,-0.197403842,0.276849339,0.790564142,-0.077816393,0.040166848,-0.002409162,2022/10/20/22:00:00.84,0.790564142
2022/10/20/22:00:00.850609,2022/10/20/22:00:00.85,3398914,1666328400,850192773,tool0_controller,-0.025069992,0.146864149,0.827946546,-0.093751508,0.057111578,0.00224264,2022/10/20/22:00:00.85,0.827946546
2022/10/20/22:00:00.853963,2022/10/20/22:00:00.85,3398915,1666328400,853532307,tool0_controller,-0.015291292,0.033466341,0.375561441,-0.085226099,0.020747912,-0.000985599,2022/10/20/22:00:00.86,-0.795628282
2022/10/20/22:00:00.857392,2022/10/20/22:00:00.85,3398916,1666328400,856909637,tool0_controller,0.259124737,0.588653386,-0.463239803,-0.070984429,-0.033650758,0.00097607,2022/10/20/22:00:00.87,0.251867748
2022/10/20/22:00:00.860112,2022/10/20/22:00:00.86,3398917,1666328400,859967213,tool0_controller,0.359256993,0.333098788,-0.795628282,-0.062354536,-0.050831785,-0.011177772,2022/10/20/22:00:00.88,-0.424892878
2022/10/20/22:00:00.862335,2022/10/20/22:00:00.86,3398918,1666328400,862053505,tool0_controller,-0.158058623,0.200392501,-0.470887272,-0.07173777,-0.018771024,-0.012621845,2022/10/20/22:00:00.89,-1.151230451
2022/10/20/22:00:00.864568,2022/10/20/22:00:00.86,3398919,1666328400,864168520,tool0_controller,-0.432976875,-0.377113976,-0.042085868,-0.072068774,0.018833591,0.006992309,2022/10/20/22:00:00.90,-0.503592786
2022/10/20/22:00:00.866809,2022/10/20/22:00:00.86,3398920,1666328400,866276206,tool0_controller,-0.468409397,-0.496397401,0.42005724,-0.100414366,0.031138861,0.014562499,2022/10/20/22:00:00.91,0.452293002
2022/10/20/22:00:00.868511,2022/10/20/22:00:00.86,3398921,1666328400,868407704,tool0_controller,-0.006284238,0.033042223,0.953479409,-0.088849616,0.003338955,-0.00555107,2022/10/20/22:00:00.92,-0.091731682
2022/10/20/22:00:00.870751,2022/10/20/22:00:00.87,3398922,1666328400,870517316,tool0_controller,-0.157543682,1.072630389,0.251867748,-0.053431369,0.001820027,-0.021263997,2022/10/20/22:00:00.93,-0.593511316
2022/10/20/22:00:00.872463,2022/10/20/22:00:00.87,3398923,1666328400,871993484,tool0_controller,-0.16440092,0.619246267,-1.230867564,-0.056868796,-0.010891674,-0.005863989,2022/10/20/22:00:00.94,-0.57072594
