time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/10/20/21:27:17.046305,22,0,0,base_link,0.534,0.301,0.127250013752,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.056200,23,0,0,base_link,0.534,0.301,0.127125015594,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.066260,24,0,0,base_link,0.534,0.301,0.127000017669,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.076189,25,0,0,base_link,0.534,0.301,0.126875019977,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.086166,26,0,0,base_link,0.534,0.301,0.126750022518,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.096305,27,0,0,base_link,0.534,0.301,0.126625025291,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.109221,28,0,0,base_link,0.534,0.301,0.126500028297,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.116174,29,0,0,base_link,0.534,0.301,0.126375031304,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.126336,30,0,0,base_link,0.534,0.301,0.126250034776,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.136287,31,0,0,base_link,0.534,0.301,0.12612503848,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.146209,32,0,0,base_link,0.534,0.301,0.126000042651,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.156228,33,0,0,base_link,0.534,0.301,0.125875046588,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.166194,34,0,0,base_link,0.534,0.301,0.125750051457,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.176651,35,0,0,base_link,0.534,0.301,0.125625056326,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.186262,36,0,0,base_link,0.534,0.301,0.125500061195,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.196298,37,0,0,base_link,0.534,0.301,0.125375066996,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.206236,38,0,0,base_link,0.534,0.301,0.12525007233,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.216206,39,0,0,base_link,0.534,0.301,0.125125078596,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.226332,40,0,0,base_link,0.534,0.301,0.125000084862,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.236777,41,0,0,base_link,0.534,0.301,0.124875091594,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.246242,42,0,0,base_link,0.534,0.301,0.124750098325,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.256209,43,0,0,base_link,0.534,0.301,0.124625105523,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.266254,44,0,0,base_link,0.534,0.301,0.124500113185,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.276206,45,0,0,base_link,0.534,0.301,0.124375121314,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.286203,46,0,0,base_link,0.534,0.301,0.124250129443,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.297486,47,0,0,base_link,0.534,0.301,0.124125138037,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.306224,48,0,0,base_link,0.534,0.301,0.124000147097,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.316223,49,0,0,base_link,0.534,0.301,0.123875156622,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.326310,50,0,0,base_link,0.534,0.301,0.123750166614,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.336240,51,0,0,base_link,0.534,0.301,0.123625176605,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.346270,52,0,0,base_link,0.534,0.301,0.123500187062,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.356240,53,0,0,base_link,0.534,0.301,0.123375197984,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.366231,54,0,0,base_link,0.534,0.301,0.123250209372,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.378491,55,0,0,base_link,0.534,0.301,0.123125221226,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.386212,56,0,0,base_link,0.534,0.301,0.123000233546,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.396196,57,0,0,base_link,0.534,0.301,0.122875246331,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.406191,58,0,0,base_link,0.534,0.301,0.122750259582,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.416205,59,0,0,base_link,0.534,0.301,0.122625272833,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.426288,60,0,0,base_link,0.534,0.301,0.122500287015,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.436272,61,0,0,base_link,0.534,0.301,0.122375301663,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.446177,62,0,0,base_link,0.534,0.301,0.122250316311,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.456243,63,0,0,base_link,0.534,0.301,0.122125332355,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.466475,64,0,0,base_link,0.534,0.301,0.122000347003,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.476185,65,0,0,base_link,0.534,0.301,0.121875363514,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.486566,66,0,0,base_link,0.534,0.301,0.121750380024,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.496242,67,0,0,base_link,0.534,0.301,0.121625396535,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.506190,68,0,0,base_link,0.534,0.301,0.121500414908,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.516177,69,0,0,base_link,0.534,0.301,0.12137543235,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.526337,70,0,0,base_link,0.534,0.301,0.121250451654,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.537305,71,0,0,base_link,0.534,0.301,0.121125470027,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.546164,72,0,0,base_link,0.534,0.301,0.121000490263,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.556304,73,0,0,base_link,0.534,0.301,0.120875510499,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.566180,74,0,0,base_link,0.534,0.301,0.120750531666,-0.3828,0.9238,0.0,0.0
2022/10/20/21:27:17.576180,75,0,0,base_link,0.534,0.301,0.120625552833,-0.3828,0.9238,0.0,0.0
