time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/10/27/22:26:19.915885,0,1666934779,915649319,base_link,0.0,0.0,0.191371287535,0.0,0.0,0.0
2022/10/27/22:26:19.935476,1,1666934779,935235129,base_link,0.0,0.0,0.361479098677,0.0,0.0,0.0
2022/10/27/22:26:19.955430,2,1666934779,955156290,base_link,0.0,0.0,0.529440589182,0.0,0.0,0.0
2022/10/27/22:26:19.975503,3,1666934779,975190880,base_link,0.0,0.0,0.697640559759,0.0,0.0,0.0
2022/10/27/22:26:19.995378,4,1666934779,995156692,base_link,0.0,0.0,0.864867182626,0.0,0.0,0.0
2022/10/27/22:26:20.015441,5,1666934780,15182253,base_link,0.0,0.0,1.03220195524,0.0,0.0,0.0
2022/10/27/22:26:20.035469,6,1666934780,35259112,base_link,0.0,0.0,1.20478134274,0.0,0.0,0.0
2022/10/27/22:26:20.055465,7,1666934780,55288076,base_link,0.0,0.0,1.37677799525,0.0,0.0,0.0
2022/10/27/22:26:20.075457,8,1666934780,75161408,base_link,0.0,0.0,1.54877464776,0.0,0.0,0.0
2022/10/27/22:26:20.095461,9,1666934780,95178604,base_link,0.0,0.0,1.71174344856,0.0,0.0,0.0
2022/10/27/22:26:20.115869,10,1666934780,115524088,base_link,0.0,0.0,1.875715344,0.0,0.0,0.0
2022/10/27/22:26:20.135492,11,1666934780,135225903,base_link,0.0,0.0,2.04859090417,0.0,0.0,0.0
2022/10/27/22:26:20.157454,12,1666934780,155234303,base_link,0.0,0.0,2.22047716827,0.0,0.0,0.0
2022/10/27/22:26:20.175313,13,1666934780,175146533,base_link,0.0,0.0,2.38748283249,0.0,0.0,0.0
2022/10/27/22:26:20.201719,14,1666934780,197717629,base_link,0.0,0.0,2.55503078559,0.0,0.0,0.0
2022/10/27/22:26:20.215359,15,1666934780,215213370,base_link,0.0,0.0,2.719538612,0.0,0.0,0.0
2022/10/27/22:26:20.235274,16,1666934780,235153214,base_link,0.0,0.0,2.88438423026,0.0,0.0,0.0
2022/10/27/22:26:20.256021,17,1666934780,255825527,base_link,0.0,0.0,3.04922984852,0.0,0.0,0.0
2022/10/27/22:26:20.275453,18,1666934780,275164734,base_link,0.0,0.0,3.21859038623,0.0,0.0,0.0
2022/10/27/22:26:20.295373,19,1666934780,295208966,base_link,0.0,0.0,3.38744926623,0.0,0.0,0.0
2022/10/27/22:26:20.315370,20,1666934780,315160868,base_link,0.0,0.0,3.5475571869,0.0,0.0,0.0
2022/10/27/22:26:20.335455,21,1666934780,335156499,base_link,0.0,0.0,3.70863743639,0.0,0.0,0.0
2022/10/27/22:26:20.355446,22,1666934780,355186303,base_link,0.0,0.0,3.87874673183,0.0,0.0,0.0
2022/10/27/22:26:20.375696,23,1666934780,375141439,base_link,0.0,0.0,4.04785279995,0.0,0.0,0.0
2022/10/27/22:26:20.395454,24,1666934780,395237978,base_link,0.0,0.0,4.21541749342,0.0,0.0,0.0
2022/10/27/22:26:20.415803,25,1666934780,415211637,base_link,0.0,0.0,4.38315345074,0.0,0.0,0.0
2022/10/27/22:26:20.435356,26,1666934780,435154398,base_link,0.0,0.0,4.55088940806,0.0,0.0,0.0
2022/10/27/22:26:20.456287,27,1666934780,456159699,base_link,0.0,0.0,4.71640291838,0.0,0.0,0.0
2022/10/27/22:26:20.475328,28,1666934780,475173273,base_link,0.0,0.0,4.8741692872,0.0,0.0,0.0
2022/10/27/22:26:20.495453,29,1666934780,495162025,base_link,0.0,0.0,5.03282388714,0.0,0.0,0.0
2022/10/27/22:26:20.515357,30,1666934780,515207767,base_link,0.0,0.0,5.19892586932,0.0,0.0,0.0
2022/10/27/22:26:20.535421,31,1666934780,535150250,base_link,0.0,0.0,5.36420036457,0.0,0.0,0.0
2022/10/27/22:26:20.555833,32,1666934780,555236648,base_link,0.0,0.0,5.52947485983,0.0,0.0,0.0
2022/10/27/22:26:20.575349,33,1666934780,575168804,base_link,0.0,0.0,5.68724907691,0.0,0.0,0.0
2022/10/27/22:26:20.595626,34,1666934780,595165449,base_link,0.0,0.0,5.84585665823,0.0,0.0,0.0
2022/10/27/22:26:20.615615,35,1666934780,615367892,base_link,0.0,0.0,6.00462819101,0.0,0.0,0.0
2022/10/27/22:26:20.639691,36,1666934780,639511074,base_link,0.0,0.0,6.16338150697,0.0,0.0,0.0
2022/10/27/22:26:20.657449,37,1666934780,655589466,base_link,0.0,0.0,6.3272024783,0.0,0.0,0.0
2022/10/27/22:26:20.675358,38,1666934780,675147963,base_link,0.0,0.0,6.49046037681,0.0,0.0,0.0
2022/10/27/22:26:20.695529,39,1666934780,695206333,base_link,0.0,0.0,6.64276511329,0.0,0.0,0.0
2022/10/27/22:26:20.715571,40,1666934780,715296446,base_link,0.0,0.0,6.79628686777,0.0,0.0,0.0
2022/10/27/22:26:20.735434,41,1666934780,735258990,base_link,0.0,0.0,6.94980862225,0.0,0.0,0.0
