,Resolution,4,,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,Unique timestamp,Force.z
2022/10/27/22:26:08.227365,2022/10/27/22:26:08.22,5622412,1666934768,226738470,tool0_controller,-2.105375037,0.044380953,-0.925191608,0.013213309,0.03721616,0.004146575,,2022/10/27/22:26:08.22,-0.925191608
2022/10/27/22:26:08.230799,2022/10/27/22:26:08.23,5622413,1666934768,230230037,tool0_controller,-1.982072538,-0.037773521,-0.550223013,0.007631892,0.028637021,8.99E-05,,2022/10/27/22:26:08.23,-0.550223013
2022/10/27/22:26:08.232989,2022/10/27/22:26:08.23,5622414,1666934768,232501632,tool0_controller,-2.12514218,-0.038096793,-0.937526583,0.009225003,0.031345404,0.002990987,,2022/10/27/22:26:08.24,-0.685248275
2022/10/27/22:26:08.235205,2022/10/27/22:26:08.23,5622415,1666934768,234750556,tool0_controller,-2.026905701,0.175046939,-0.782509758,0.006129388,0.025341002,0.00749972,,2022/10/27/22:26:08.25,-0.424492459
2022/10/27/22:26:08.237484,2022/10/27/22:26:08.23,5622416,1666934768,237000936,tool0_controller,-1.986911981,0.178870799,-0.780133048,0.014611342,0.022050341,0.007521334,,2022/10/27/22:26:08.26,-0.921293575
2022/10/27/22:26:08.239714,2022/10/27/22:26:08.23,5622417,1666934768,239234259,tool0_controller,-2.100265713,0.275541675,-0.644538406,0.005717948,0.027863946,0.003644297,,2022/10/27/22:26:08.27,-0.640305853
2022/10/27/22:26:08.241393,2022/10/27/22:26:08.24,5622418,1666934768,241089764,tool0_controller,-2.091897867,0.623345104,-0.685248275,0.010988467,0.03019903,0.011985378,,2022/10/27/22:26:08.28,-0.92216853
2022/10/27/22:26:08.243077,2022/10/27/22:26:08.24,5622419,1666934768,242605016,tool0_controller,-1.953789252,0.607529684,-0.435630501,0.009862507,0.027269193,0.006787768,,2022/10/27/22:26:08.29,-1.129240041
2022/10/27/22:26:08.244772,2022/10/27/22:26:08.24,5622420,1666934768,244146126,tool0_controller,-2.001013209,0.334108763,-0.585954742,0.002533561,0.02743893,0.006708405,,2022/10/27/22:26:08.30,-0.939619405
2022/10/27/22:26:08.245886,2022/10/27/22:26:08.24,5622421,1666934768,245705685,tool0_controller,-1.894898928,0.413192642,-0.814111629,0.01511454,0.028862073,0.011546377,,2022/10/27/22:26:08.31,-0.624944399
2022/10/27/22:26:08.247574,2022/10/27/22:26:08.24,5622422,1666934768,247242787,tool0_controller,-1.783232295,0.41662354,-0.543732662,0.010604102,0.022686084,0.006249332,,2022/10/27/22:26:08.32,-0.770613606
2022/10/27/22:26:08.249265,2022/10/27/22:26:08.24,5622423,1666934768,248777944,tool0_controller,-1.791209353,0.416796202,-0.692711125,0.010229553,0.034573317,0.009158852,,2022/10/27/22:26:08.33,-0.64248772
2022/10/27/22:26:08.250921,2022/10/27/22:26:08.25,5622424,1666934768,250309238,tool0_controller,-2.095530139,0.4476698,-0.424492459,0.005428,0.035484519,0.007767639,,2022/10/27/22:26:08.34,-0.767889285
2022/10/27/22:26:08.252065,2022/10/27/22:26:08.25,5622425,1666934768,251673244,tool0_controller,-2.038641091,-0.050228634,-0.656423261,0.008506811,0.033367512,0.002994399,,2022/10/27/22:26:08.35,-1.029787578
2022/10/27/22:26:08.253183,2022/10/27/22:26:08.25,5622426,1666934768,253032994,tool0_controller,-2.038347034,0.046133372,-0.819603453,0.006778934,0.027136798,0.00886944,,2022/10/27/22:26:08.36,-0.622991263
2022/10/27/22:26:08.254872,2022/10/27/22:26:08.25,5622427,1666934768,254318167,tool0_controller,-1.929220405,0.23007798,-0.624487918,0.013276374,0.02832202,0.008499137,,2022/10/27/22:26:08.37,-0.750515195
2022/10/27/22:26:08.255999,2022/10/27/22:26:08.25,5622428,1666934768,255647814,tool0_controller,-2.215539627,0.220095257,-0.600850552,0.010612156,0.033606134,0.006826429,,2022/10/27/22:26:08.38,-0.917707958
2022/10/27/22:26:08.257120,2022/10/27/22:26:08.25,5622429,1666934768,256936437,tool0_controller,-2.040674481,0.271037999,-0.549754281,0.005195567,0.035782267,0.013445271,,2022/10/27/22:26:08.39,-0.659879693
2022/10/27/22:26:08.258804,2022/10/27/22:26:08.25,5622430,1666934768,258219823,tool0_controller,-2.028385225,-0.022552282,-0.71788932,0.001119659,0.031454214,0.008568226,,2022/10/27/22:26:08.40,-0.473274456
2022/10/27/22:26:08.259934,2022/10/27/22:26:08.25,5622431,1666934768,259527102,tool0_controller,-2.108647011,-0.171679376,-0.798417497,0.006935137,0.028048447,0.005043803,,2022/10/27/22:26:08.41,-0.63278474
2022/10/27/22:26:08.261058,2022/10/27/22:26:08.26,5622432,1666934768,260799251,tool0_controller,-2.17061123,-0.051426187,-0.921293575,0.0095641,0.027457838,0.004449363,,2022/10/27/22:26:08.42,-0.619931173
2022/10/27/22:26:08.262747,2022/10/27/22:26:08.26,5622433,1666934768,262099559,tool0_controller,-2.104508762,0.248629181,-0.612916654,0.011164123,0.021221009,0.007298518,,2022/10/27/22:26:08.43,-0.979485594
2022/10/27/22:26:08.263879,2022/10/27/22:26:08.26,5622434,1666934768,263416866,tool0_controller,-2.182458551,0.120371175,-0.711785387,0.005056395,0.028876211,0.013556804,,2022/10/27/22:26:08.45,-0.610144714
2022/10/27/22:26:08.265009,2022/10/27/22:26:08.26,5622435,1666934768,264797710,tool0_controller,-2.059507703,0.286602556,-0.635312978,0.003872097,0.028693928,0.015188304,,2022/10/27/22:26:08.46,-0.523425737
