time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,,,,,,,,,,
2022/11/02/21:16:40.003734,7026141,1667449000,2864615,tool0_controller,-0.155016841,0.429741317,0.67550326,-0.007150078,-0.018889404,0.001647066,,,,,,,,,,,
2022/11/02/21:16:40.005128,7026142,1667449000,4830405,tool0_controller,0.039782092,0.514155697,0.723597672,-0.010305064,-0.020489721,0.007336765,,,,,,,,,,,
2022/11/02/21:16:40.006899,7026143,1667449000,6702905,tool0_controller,-0.150355519,0.693112596,0.564201203,-0.009462744,-0.018408798,0.009733843,,,,,,,,,,,
2022/11/02/21:16:40.009115,7026144,1667449000,8689339,tool0_controller,-0.136189102,0.573053449,1.006090005,-0.00823515,-0.024090897,0.005855544,,,,,,,,,,,
2022/11/02/21:16:40.010722,7026145,1667449000,10582049,tool0_controller,-0.051066788,0.409526529,0.70732059,-0.013405629,-0.015757243,0.007650923,,,,,,,,,,,
2022/11/02/21:16:40.013032,7026146,1667449000,12513912,tool0_controller,-0.058451039,0.332636423,0.768322528,-0.01462652,-0.019517757,0.004042281,,,,,,,,,,,
2022/11/02/21:16:40.014662,7026147,1667449000,14480659,tool0_controller,0.035596686,0.575628437,0.793161745,-0.011949556,-0.026260885,0.010697405,,,,,,,,,,,
2022/11/02/21:16:40.016873,7026148,1667449000,16354116,tool0_controller,-0.04633313,0.480409439,0.641853586,-0.009598417,-0.021325838,0.005983674,,,,,,,,,,,
2022/11/02/21:16:40.018596,7026149,1667449000,18003740,tool0_controller,-0.053218625,0.550711877,0.856117299,-0.00957297,-0.027340277,0.006620088,,,,,,,,,,,
2022/11/02/21:16:40.023110,7026150,1667449000,19547333,tool0_controller,-0.108799201,0.566526369,0.689006763,-0.010350301,-0.022323779,0.008627637,,,,,,,,,,,
2022/11/02/21:16:40.024083,7026151,1667449000,23499622,tool0_controller,-0.080551251,0.423593658,0.883550063,-0.002407556,-0.017368189,0.001710786,,,,,,,,,,,
2022/11/02/21:16:40.025743,7026152,1667449000,25483553,tool0_controller,-0.138904595,0.767010983,0.868513676,-0.012715109,-0.021230651,0.007824349,,,,,,,,,,,
2022/11/02/21:16:40.028014,7026153,1667449000,27498339,tool0_controller,-0.018700608,0.647040761,0.757742446,-0.007758137,-0.02362868,0.004552379,,,,,,,,,,,
2022/11/02/21:16:40.029641,7026154,1667449000,29515404,tool0_controller,-0.053382535,0.630110452,0.68679629,-0.007882136,-0.020131325,0.00892765,,,,,,,,,,,
2022/11/02/21:16:40.031891,7026155,1667449000,31500480,tool0_controller,-0.190494312,0.658791368,0.673113258,-0.001504964,-0.015628162,0.009865405,,,,,,,,,,,
2022/11/02/21:16:40.034105,7026156,1667449000,33511013,tool0_controller,-0.089581854,0.645256742,0.803788928,-0.001915563,-0.013092849,0.01156443,,,,,,,,,,,
2022/11/02/21:16:40.036156,7026157,1667449000,35546602,tool0_controller,-0.09232072,0.421237054,0.950909552,-0.008502833,-0.016984606,0.00573113,,,,,,,,,,,
