time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/10/20/21:06:55.562413,24,0,0,base_link,0.534,0.301,0.127000017669,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.572505,25,0,0,base_link,0.534,0.301,0.126875019977,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.581949,26,0,0,base_link,0.534,0.301,0.126750022518,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.591980,27,0,0,base_link,0.534,0.301,0.126625025291,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.602140,28,0,0,base_link,0.534,0.301,0.126500028297,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.611936,29,0,0,base_link,0.534,0.301,0.126375031304,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.623842,30,0,0,base_link,0.534,0.301,0.126250034776,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.632001,31,0,0,base_link,0.534,0.301,0.12612503848,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.642213,32,0,0,base_link,0.534,0.301,0.126000042651,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.651963,33,0,0,base_link,0.534,0.301,0.125875046588,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.661994,34,0,0,base_link,0.534,0.301,0.125750051457,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.672073,35,0,0,base_link,0.534,0.301,0.125625056326,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.681975,36,0,0,base_link,0.534,0.301,0.125500061195,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.692015,37,0,0,base_link,0.534,0.301,0.125375066996,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.701963,38,0,0,base_link,0.534,0.301,0.12525007233,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.711943,39,0,0,base_link,0.534,0.301,0.125125078596,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.722027,40,0,0,base_link,0.534,0.301,0.125000084862,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.732100,41,0,0,base_link,0.534,0.301,0.124875091594,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.741955,42,0,0,base_link,0.534,0.301,0.124750098325,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.752028,43,0,0,base_link,0.534,0.301,0.124625105523,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.762134,44,0,0,base_link,0.534,0.301,0.124500113185,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.771970,45,0,0,base_link,0.534,0.301,0.124375121314,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.781930,46,0,0,base_link,0.534,0.301,0.124250129443,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.792040,47,0,0,base_link,0.534,0.301,0.124125138037,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.801974,48,0,0,base_link,0.534,0.301,0.124000147097,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.812077,49,0,0,base_link,0.534,0.301,0.123875156622,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.821959,50,0,0,base_link,0.534,0.301,0.123750166614,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.832110,51,0,0,base_link,0.534,0.301,0.123625176605,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.842099,52,0,0,base_link,0.534,0.301,0.123500187062,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.852101,53,0,0,base_link,0.534,0.301,0.123375197984,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.862035,54,0,0,base_link,0.534,0.301,0.123250209372,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.872061,55,0,0,base_link,0.534,0.301,0.123125221226,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.881980,56,0,0,base_link,0.534,0.301,0.123000233546,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.892042,57,0,0,base_link,0.534,0.301,0.122875246331,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.901979,58,0,0,base_link,0.534,0.301,0.122750259582,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.915031,59,0,0,base_link,0.534,0.301,0.122625272833,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.922120,60,0,0,base_link,0.534,0.301,0.122500287015,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.933057,61,0,0,base_link,0.534,0.301,0.122375301663,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.943463,62,0,0,base_link,0.534,0.301,0.122250316311,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.952003,63,0,0,base_link,0.534,0.301,0.122125332355,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.961971,64,0,0,base_link,0.534,0.301,0.122000347003,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.972085,65,0,0,base_link,0.534,0.301,0.121875363514,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.981976,66,0,0,base_link,0.534,0.301,0.121750380024,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:55.992879,67,0,0,base_link,0.534,0.301,0.121625396535,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.002028,68,0,0,base_link,0.534,0.301,0.121500414908,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.017001,69,0,0,base_link,0.534,0.301,0.12137543235,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.023795,70,0,0,base_link,0.534,0.301,0.121250451654,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.032023,71,0,0,base_link,0.534,0.301,0.121125470027,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.041969,72,0,0,base_link,0.534,0.301,0.121000490263,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.052087,73,0,0,base_link,0.534,0.301,0.120875510499,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.062029,74,0,0,base_link,0.534,0.301,0.120750531666,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.071973,75,0,0,base_link,0.534,0.301,0.120625552833,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.082003,76,0,0,base_link,0.534,0.301,0.120500574932,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.091994,77,0,0,base_link,0.534,0.301,0.12037559703,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.102150,78,0,0,base_link,0.534,0.301,0.12025062006,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.111998,79,0,0,base_link,0.534,0.301,0.120125644021,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.122014,80,0,0,base_link,0.534,0.301,0.120000668913,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.131960,81,0,0,base_link,0.534,0.301,0.119875693806,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.142031,82,0,0,base_link,0.534,0.301,0.119750719629,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.151969,83,0,0,base_link,0.534,0.301,0.119625745453,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.163383,84,0,0,base_link,0.534,0.301,0.119500773139,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.171968,85,0,0,base_link,0.534,0.301,0.119375800826,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.182041,86,0,0,base_link,0.534,0.301,0.119250828512,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.192008,87,0,0,base_link,0.534,0.301,0.119125858061,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.201933,88,0,0,base_link,0.534,0.301,0.11900088761,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.211963,89,0,0,base_link,0.534,0.301,0.11887591809,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.222003,90,0,0,base_link,0.534,0.301,0.118750948571,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.231972,91,0,0,base_link,0.534,0.301,0.118625980914,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.242032,92,0,0,base_link,0.534,0.301,0.118501013257,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.251982,93,0,0,base_link,0.534,0.301,0.118376046531,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.261951,94,0,0,base_link,0.534,0.301,0.118251079805,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.272090,95,0,0,base_link,0.534,0.301,0.118126114942,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.281984,96,0,0,base_link,0.534,0.301,0.118001150079,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.292284,97,0,0,base_link,0.534,0.301,0.117876186147,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.301970,98,0,0,base_link,0.534,0.301,0.117751223147,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.312056,99,0,0,base_link,0.534,0.301,0.117626261078,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.321965,100,0,0,base_link,0.534,0.301,0.117501299009,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.331999,101,0,0,base_link,0.534,0.301,0.117376337871,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.342020,102,0,0,base_link,0.534,0.301,0.117251378596,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.352129,103,0,0,base_link,0.534,0.301,0.117126419321,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.363370,104,0,0,base_link,0.534,0.301,0.117001460977,-0.3828,0.9238,0.0,0.0
2022/10/20/21:06:56.371989,105,0,0,base_link,0.534,0.301,0.116876502633,-0.3828,0.9238,0.0,0.0
