time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/10/20/22:55:20.887986,0,1666331720,887727374,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:20.907966,1,1666331720,907671180,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:20.928730,2,1666331720,927720676,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:20.947959,3,1666331720,947643788,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:20.967983,4,1666331720,967644829,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:20.987972,5,1666331720,987641445,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.011801,6,1666331721,10394380,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.027925,7,1666331721,27665107,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.047946,8,1666331721,47643758,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.068473,9,1666331721,68174100,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.087824,10,1666331721,87644868,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.107958,11,1666331721,107643397,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.127831,12,1666331721,127643993,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.147991,13,1666331721,147641658,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.168762,14,1666331721,168323777,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.188042,15,1666331721,187658663,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.210683,16,1666331721,207658957,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.227856,17,1666331721,227638739,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.248019,18,1666331721,247674961,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.268002,19,1666331721,267644454,base_link,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/20/22:55:21.288045,20,1666331721,287679296,base_link,0.0,0.0,0.0,0.0,0.0,0.0
