time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/09/13/22:01:59.543012,454235,1663131719,542615036,tool0_controller,0.0337400657921,0.264013686166,-1.63045523953,0.0474600694952,0.103660601019,-0.00367485812619
2022/09/13/22:01:59.545222,454236,1663131719,544679037,tool0_controller,0.111716002268,0.169900217995,-1.76865382494,0.0479761913973,0.103932167934,-0.00358435168668
2022/09/13/22:01:59.546854,454237,1663131719,546609533,tool0_controller,-0.510803050423,0.150477380847,-1.90747394363,0.051717700925,0.101370623854,-0.015844476508
2022/09/13/22:01:59.549204,454238,1663131719,548673947,tool0_controller,-0.303730598004,0.116777210313,-1.65193193192,0.0480933371167,0.100667024412,-0.0118691455205
2022/09/13/22:01:59.550776,454239,1663131719,550618167,tool0_controller,-0.472910516571,0.123604444526,-1.70023101261,0.0484269811141,0.107313357721,-0.0144573937614
2022/09/13/22:01:59.553040,454240,1663131719,552601007,tool0_controller,-0.179072753967,0.110162272142,-1.67796717024,0.0469178387153,0.10936553484,-0.00864170670692
2022/09/13/22:01:59.555256,454241,1663131719,554639474,tool0_controller,-0.171483345138,0.112245256205,-1.52486115292,0.047906110062,0.101044776165,-0.0083840736036
2022/09/13/22:01:59.556957,454242,1663131719,556606603,tool0_controller,0.0487003409912,0.180287456265,-1.7140834523,0.0480078523874,0.1032419017,-0.00632518566412
2022/09/13/22:01:59.559225,454243,1663131719,558621105,tool0_controller,0.0183470248617,0.123523009883,-1.73057825472,0.0475158436298,0.105252391078,-0.00795074918967
2022/09/13/22:01:59.560889,454244,1663131719,560598270,tool0_controller,-0.287488431315,0.121897278483,-1.80586459005,0.0517702588291,0.101682104808,-0.0110258726837
2022/09/13/22:01:59.563147,454245,1663131719,562596412,tool0_controller,-0.413588519275,0.193494032481,-1.78558992556,0.0530101558731,0.105779509232,-0.0136034874445
2022/09/13/22:01:59.564837,454246,1663131719,564583821,tool0_controller,-0.0739150608554,0.17870967221,-1.74739879901,0.0498517417101,0.1011056471,-0.00819816631049
2022/09/13/22:01:59.567066,454247,1663131719,566579837,tool0_controller,-0.22800018389,0.075023863205,-1.7957977495,0.0509898953276,0.104678132178,-0.0140752121555
2022/09/13/22:01:59.568757,454248,1663131719,568592120,tool0_controller,-0.0303096305881,0.223445775633,-1.92648646562,0.0555572139926,0.104230975228,-0.00554817144524
2022/09/13/22:01:59.571024,454249,1663131719,570592553,tool0_controller,-0.176268091225,0.245983556603,-1.69126271216,0.0502693020763,0.101128421822,-0.0110733384304
2022/09/13/22:01:59.573272,454250,1663131719,572624339,tool0_controller,0.227631497552,0.266373341881,-1.72597105843,0.0509407813782,0.10911245569,0.00301467803291
2022/09/13/22:01:59.574934,454251,1663131719,574588488,tool0_controller,-0.280072887674,0.0745862718309,-1.4649299183,0.0421665647109,0.102702163986,-0.00899450499632
2022/09/13/22:01:59.577178,454252,1663131719,576604280,tool0_controller,-0.237519572654,0.180434576965,-1.62812298755,0.0463046973831,0.100922785738,-0.0128115815012
2022/09/13/22:01:59.578913,454253,1663131719,578587877,tool0_controller,-0.0461502837939,0.191317796585,-1.72121803839,0.0509399959167,0.0969817563884,-0.00364309426129
2022/09/13/22:01:59.581129,454254,1663131719,580579609,tool0_controller,0.0668320796135,0.158879648458,-1.8337592123,0.0508054046231,0.103575941944,-0.00528476218639
2022/09/13/22:01:59.582868,454255,1663131719,582597346,tool0_controller,-0.217950961148,0.219648676524,-1.70894332798,0.0498084217309,0.107736643498,-0.0116533068981
