w,x,y,z,ax,ay,az
1.00,0.00,0.00,-0.00

1.00,0.00,0.00,-0.00,-15,-53,-5138

1.00,0.00,-0.00,-0.00,25,-70,-3819

1.00,0.00,-0.00,-0.00,95,-73,-2799

1.00,0.00,-0.00,-0.00,123,-62,-2025

1.00,0.00,-0.00,-0.00,92,-59,-1490

1.00,0.00,-0.00,-0.00,44,-63,-1116

1.00,0.00,-0.00,-0.00,12,-72,-850

1.00,0.00,-0.00,-0.00,2,-91,-653

1.00,0.00,-0.00,-0.00,24,-94,-492

1.00,0.00,-0.00,-0.00,57,-77,-402

1.00,0.00,-0.00,-0.00,60,-49,-358

1.00,0.00,-0.00,-0.00,39,-30,-284

1.00,0.00,-0.00,-0.00,30,-35,-215

1.00,0.00,-0.00,-0.00,33,-65,-205

1.00,0.00,-0.00,-0.00,25,-104,-217

1.00,0.00,-0.00,-0.00,14,-137,-206

1.00,0.00,-0.00,-0.00,15,-129,-176

1.00,0.00,-0.00,-0.00,58,-123,-149

1.00,0.00,-0.00,-0.00,89,-130,-134

1.00,0.00,-0.00,-0.00,62,-138,-129

1.00,0.00,-0.00,-0.00,14,-128,-181

1.00,0.00,-0.00,-0.00,-12,-122,-242

1.00,0.00,-0.00,-0.00,-13,-119,-252

1.00,0.00,-0.00,-0.00,-5,-117,-200

1.00,0.00,-0.00,-0.00,6,-111,-172

1.00,0.00,-0.00,-0.00,30,-104,-188

1.00,0.00,-0.00,-0.00,27,-66,-189

1.00,0.00,-0.00,-0.00,28,-27,-164

1.00,0.00,-0.00,-0.00,32,-18,-133

1.00,0.00,-0.00,-0.00,30,-31,-74

1.00,0.00,0.00,-0.00,12,-72,-52

1.00,0.00,0.00,-0.00,-28,-112,-74

1.00,0.00,-0.00,-0.00,-12,-108,-58

1.00,0.00,-0.00,-0.00,64,-97,-9

1.00,0.00,-0.00,-0.00,110,-89,26

1.00,0.00,-0.00,-0.00,90,-69,54

1.00,0.00,0.00,-0.00,36,-36,15

1.00,0.00,0.00,-0.00,-1,-22,3

1.00,0.00,0.00,-0.00,0,-30,23

1.00,0.00,0.00,-0.00,19,-60,63

1.00,0.00,0.00,-0.00,19,-65,124

1.00,0.00,0.00,-0.00,-2,-48,135

1.00,0.00,0.00,-0.00,-38,-45,98

1.00,0.00,0.00,-0.00,-63,-26,87

1.00,0.00,0.00,-0.00,-45,3,102

1.00,0.00,0.00,-0.00,-16,-4,118

1.00,0.00,0.00,-0.00,-12,-28,150

1.00,0.00,0.00,-0.00,-60,-43,184

1.00,0.00,0.00,-0.00,-116,-42,181

1.00,0.00,0.00,-0.00,-109,-55,184

1.00,0.00,0.00,-0.00,-70,-60,215

1.00,0.00,0.00,-0.00,-49,-70,208

1.00,0.00,0.00,-0.00,-65,-73,143

1.00,0.00,0.00,-0.00,-90,-48,122

1.00,0.00,0.00,-0.00,-92,-43,143

1.00,0.00,0.00,-0.00,-86,-65,177

1.00,0.00,0.00,-0.00,-95,-75,180

1.00,0.00,0.00,-0.00,-98,-70,124

1.00,0.00,0.00,-0.00,-71,-63,114

1.00,0.00,0.00,-0.00,-47,-63,144

1.00,0.00,0.00,-0.00,-55,-82,168

1.00,0.00,0.00,-0.00,-53,-95,140

1.00,0.00,0.00,-0.00,-42,-97,56

1.00,0.00,0.00,-0.00,-49,-88,23

1.00,0.00,0.00,-0.00,-72,-56,47

1.00,0.00,0.00,-0.00,-72,-41,55

1.00,0.00,0.00,-0.00,-62,-38,73

1.00,0.00,0.00,-0.00,-64,-45,74

1.00,0.00,0.00,-0.00,-55,-62,37

1.00,0.00,0.00,-0.00,-1,-64,-6

1.00,0.00,0.00,-0.00,36,-84,-11

1.00,0.00,0.00,-0.00,0,-119,15

1.00,0.00,0.00,-0.00,-86,-132,28

1.00,0.00,0.00,-0.00,-129,-137,-1

1.00,0.00,0.00,-0.00,-109,-137,-59

1.00,0.00,0.00,-0.00,-60,-131,-87

1.00,0.00,0.00,-0.00,-14,-99,-65

1.00,0.00,0.00,-0.00,10,-60,-44

1.00,0.00,0.00,-0.00,3,-35,-36

1.00,0.00,0.00,-0.00,-30,-27,-31

1.00,0.00,0.00,-0.00,-66,-33,-27

1.00,0.00,0.00,-0.00,-71,-53,-19

1.00,0.00,0.00,-0.00,-57,-86,-32

1.00,0.00,0.00,-0.00,-62,-101,-50
