w,x,y,z,ax,ay,az
1.00,0.00,0.00,0.00,6,-20,-5164
1.00,0.00,0.00,0.00,8,-28,-3797
1.00,0.00,0.00,-0.00,16,-27,-2791
1.00,0.00,0.00,-0.00,17,-26,-2064
1.00,0.00,0.00,-0.00,9,-28,-1529
1.00,0.00,0.00,-0.00,10,-31,-1129
1.00,0.00,0.00,-0.00,8,-37,-836
1.00,0.00,0.00,-0.00,8,-40,-621
1.00,0.00,0.00,-0.00,5,-39,-465
1.00,0.00,0.00,-0.00,0,-33,-350
1.00,0.00,0.00,-0.00,-5,-36,-258
1.00,0.00,0.00,-0.00,-7,-34,-196
1.00,0.00,0.00,-0.00,-8,-33,-146
1.00,0.00,0.00,-0.00,-10,-32,-115
1.00,0.00,0.00,-0.00,-11,-34,-89
1.00,0.00,0.00,-0.00,-10,-36,-68
1.00,0.00,0.00,-0.00,-6,-40,-54
1.00,0.00,0.00,-0.00,-2,-35,-42
1.00,0.00,0.00,-0.00,0,-33,-41
1.00,0.00,0.00,-0.00,3,-33,-41
1.00,0.00,0.00,-0.00,3,-38,-28
1.00,0.00,0.00,-0.00,5,-39,-24
1.00,0.00,0.00,-0.00,4,-38,-28
1.00,0.00,0.00,-0.00,4,-32,-25
1.00,0.00,0.00,-0.00,0,-31,-24
1.00,0.00,0.00,-0.00,-4,-31,-15
1.00,0.00,0.00,-0.00,-4,-28,-10
1.00,0.00,0.00,-0.00,-10,-27,-18
1.00,0.00,0.00,-0.00,-6,-25,-18
1.00,0.00,0.00,-0.00,-9,-29,-12
1.00,0.00,0.00,-0.00,-7,-32,-15
1.00,0.00,0.00,-0.00,-8,-31,-26
1.00,0.00,0.00,-0.00,-3,-31,-27
1.00,0.00,0.00,-0.00,-4,-32,-19
1.00,0.00,0.00,-0.00,-3,-32,-16
1.00,0.00,0.00,-0.00,0,-33,-12
1.00,0.00,-0.00,-0.00,3,-33,-9
1.00,0.00,-0.00,-0.00,8,-33,-14
1.00,0.00,-0.00,-0.00,6,-31,-17
1.00,0.00,-0.00,-0.00,4,-33,-23
1.00,0.00,-0.00,-0.00,1,-31,-31
1.00,0.00,-0.00,-0.00,-1,-28,-27
1.00,0.00,-0.00,-0.00,-6,-29,-21
1.00,0.00,-0.00,-0.00,-10,-30,-17
1.00,0.00,-0.00,-0.00,-10,-30,-13
1.00,0.00,-0.00,-0.00,-11,-26,-8
1.00,0.00,-0.00,-0.00,-12,-25,-6
1.00,0.00,-0.00,-0.00,-11,-27,-12
1.00,0.00,-0.00,-0.00,-12,-28,-9
1.00,0.00,-0.00,-0.00,-10,-27,-25
1.00,0.00,-0.00,-0.00,-6,-23,-28
1.00,0.00,-0.00,-0.00,0,-25,-28
1.00,0.00,-0.00,-0.00,5,-29,-23
1.00,0.00,-0.00,-0.00,10,-30,-18
1.00,0.00,-0.00,-0.00,5,-30,-21
1.00,0.00,-0.00,-0.00,7,-31,-19
1.00,0.00,-0.00,-0.00,7,-28,-16
1.00,0.00,-0.00,-0.00,4,-27,-8
1.00,0.00,-0.00,-0.00,0,-26,-3
1.00,0.00,-0.00,-0.00,-3,-25,-8
1.00,0.00,-0.00,-0.00,-4,-24,-19
1.00,0.00,-0.00,-0.00,-4,-22,-20
1.00,0.00,-0.00,-0.00,-5,-21,-20
1.00,0.00,-0.00,-0.00,-6,-23,-20
1.00,0.00,-0.00,-0.00,-5,-27,-21
1.00,0.00,-0.00,-0.00,-9,-31,-12
1.00,0.00,-0.00,-0.00,-7,-30,-13
1.00,0.00,-0.00,-0.00,-1,-32,-10
1.00,0.00,-0.00,-0.00,3,-34,-17
1.00,0.00,-0.00,-0.00,4,-28,-20
1.00,0.00,-0.00,-0.00,3,-23,-30
1.00,0.00,-0.00,-0.00,3,-21,-33
1.00,0.00,-0.00,-0.00,8,-23,-23
1.00,0.00,-0.00,-0.00,2,-24,-16
1.00,0.00,-0.00,-0.00,3,-24,-13
1.00,0.00,-0.00,-0.00,0,-25,-7
1.00,0.00,-0.00,-0.00,-5,-27,-9
1.00,0.00,-0.00,-0.00,-2,-24,-14
1.00,0.00,-0.00,-0.00,-7,-21,-13
1.00,0.00,-0.00,-0.00,-3,-19,-15
1.00,0.00,-0.00,-0.00,-7,-18,-17
1.00,0.00,-0.00,-0.00,-5,-18,-17
1.00,0.00,-0.00,-0.00,-9,-19,-20
1.00,0.00,-0.00,-0.00,-14,-15,-18
1.00,0.00,-0.00,-0.00,-11,-12,-19
1.00,0.00,-0.00,-0.00,-7,-14,-15
1.00,0.00,-0.00,-0.00,-7,-20,-12
1.00,0.00,-0.00,-0.00,-3,-16,-13
1.00,0.00,-0.00,-0.00,1,-17,-25
1.00,0.00,-0.00,-0.00,5,-19,-33
1.00,0.00,-0.00,-0.00,7,-21,-37
1.00,0.00,-0.00,-0.00,4,-22,-36
1.00,0.00,-0.00,-0.00,2,-23,-30
1.00,0.00,-0.00,-0.00,-1,-24,-22
1.00,0.00,-0.00,-0.00,-1,-18,-14
1.00,0.00,-0.00,-0.00,0,-16,-13
1.00,0.00,-0.00,-0.00,-2,-20,-15
1.00,0.00,-0.00,-0.00,-6,-17,-19
1.00,0.00,-0.00,-0.00,-10,-13,-15
1.00,0.00,-0.00,-0.00,-10,-11,-12
1.00,0.00,-0.00,-0.00,-9,-7,-16
1.00,0.00,-0.00,-0.00,-8,-9,-14
1.00,0.00,-0.00,-0.00,-9,-13,-20
1.00,0.00,-0.00,-0.00,-4,-16,-21
1.00,0.00,-0.00,-0.00,-6,-12,-13
1.00,0.00,-0.00,-0.00,-1,-14,-13
1.00,0.00,-0.00,-0.00,3,-11,-16
1.00,0.00,-0.00,-0.00,5,-8,-20
1.00,0.00,-0.00,-0.00,8,-8,-21
1.00,0.00,-0.00,-0.00,5,-10,-19
1.00,0.00,-0.00,-0.00,2,-10,-9
1.00,0.00,-0.00,-0.00,0,-13,-9
1.00,0.00,-0.00,-0.00,0,-14,-9
1.00,0.00,-0.00,-0.00,-2,-14,-5
1.00,0.00,-0.00,-0.00,0,-18,-1
1.00,0.00,-0.00,-0.00,-3,-19,-1
1.00,0.00,-0.00,-0.00,-3,-21,-4
1.00,0.00,-0.00,-0.00,-1,-19,-7
1.00,0.00,-0.00,-0.00,0,-16,-10
1.00,0.00,-0.00,-0.00,0,-11,-17
1.00,0.00,-0.00,-0.00,0,-11,-23
1.00,0.00,-0.00,-0.00,0,-12,-27
1.00,0.00,-0.00,-0.00,2,-12,-24
1.00,0.00,-0.00,-0.00,4,-10,-21
1.00,0.00,-0.00,-0.00,4,-11,-21
1.00,0.00,-0.00,-0.00,1,-12,-20
1.00,0.00,-0.00,-0.00,-2,-7,-18
1.00,0.00,-0.00,-0.00,-2,-8,-19
1.00,0.00,-0.00,-0.00,-2,-5,-16
1.00,0.00,-0.00,-0.00,-4,-5,-11
1.00,0.00,-0.00,-0.00,-3,-10,-16
1.00,0.00,-0.00,-0.00,-4,-8,-20
1.00,0.00,-0.00,-0.00,-1,-10,-15
1.00,0.00,-0.00,-0.00,-5,-9,-8
1.00,0.00,-0.00,-0.00,-2,-8,-14
1.00,0.00,-0.00,-0.00,0,-11,-14
1.00,0.00,-0.00,-0.00,0,-14,-14
1.00,0.00,-0.00,-0.00,3,-14,-18
1.00,0.00,-0.00,-0.00,4,-17,-19
1.00,0.00,-0.00,-0.00,3,-18,-16
1.00,0.00,-0.00,-0.00,0,-13,-17
1.00,0.00,-0.00,-0.00,0,-12,-17
1.00,0.00,-0.00,-0.00,-1,-8,-24
1.00,0.00,-0.00,-0.00,0,-7,-20
1.00,0.00,-0.00,-0.00,-3,-8,-19
1.00,0.00,-0.00,-0.00,-2,-8,-16
1.00,0.00,-0.00,-0.00,-1,-7,-10
1.00,0.00,-0.00,-0.00,-3,-6,-12
1.00,0.00,-0.00,-0.00,-6,-3,-7
1.00,0.00,-0.00,-0.00,-6,-4,-11
1.00,0.00,-0.00,-0.00,-8,-10,-15
1.00,0.00,-0.00,-0.00,-6,-9,-18
1.00,0.00,-0.00,-0.00,-4,-14,-15
1.00,0.00,-0.00,-0.00,0,-9,-21
1.00,0.00,-0.00,-0.00,1,-11,-23
1.00,0.00,-0.00,-0.00,7,-12,-22
1.00,0.00,-0.00,-0.00,5,-14,-23
1.00,0.00,-0.00,-0.00,5,-15,-31
1.00,0.00,-0.00,-0.00,3,-13,-29
1.00,0.00,-0.00,-0.00,2,-5,-35
1.00,0.00,-0.00,-0.00,-3,-2,-30
1.00,0.00,-0.00,-0.00,-4,-2,-29
1.00,0.00,-0.00,-0.00,-2,-5,-25
1.00,0.00,-0.00,-0.00,0,-6,-18
1.00,0.00,-0.00,-0.00,-2,-5,-15
1.00,0.00,-0.00,-0.00,-5,-5,-11
1.00,0.00,-0.00,-0.00,-6,-4,-9
1.00,0.00,-0.00,-0.00,-5,-7,-13
1.00,0.00,-0.00,-0.00,-6,-5,-12
1.00,0.00,-0.00,-0.00,-3,-5,-13
1.00,0.00,-0.00,-0.00,0,-8,-17
1.00,0.00,-0.00,-0.00,0,-9,-20
1.00,0.00,-0.00,-0.00,0,-10,-21
1.00,0.00,-0.00,-0.00,-1,-11,-25
1.00,0.00,-0.00,-0.00,-4,-7,-26
1.00,0.00,-0.00,-0.00,-5,-9,-22
1.00,0.00,-0.00,-0.00,-5,-8,-23
1.00,0.00,-0.00,-0.00,-7,-12,-20
1.00,0.00,-0.00,-0.00,-12,-8,-15
1.00,0.00,-0.00,-0.00,-17,-7,-17
1.00,0.00,-0.00,-0.00,-16,-5,-12
1.00,0.00,-0.00,-0.00,-13,-4,-12
1.00,0.00,-0.00,-0.00,-9,-3,-12
1.00,0.00,-0.00,-0.00,-8,-2,-15
1.00,0.00,-0.00,-0.00,-3,-3,-17
1.00,0.00,-0.00,-0.00,-4,-5,-17
1.00,0.00,-0.00,-0.00,0,-10,-14
1.00,0.00,-0.00,-0.00,0,-7,-20
1.00,0.00,-0.00,-0.00,0,-4,-29
1.00,0.00,-0.00,-0.00,3,-9,-34
1.00,0.00,-0.00,-0.00,0,-9,-33
1.00,0.00,-0.00,-0.00,-1,-7,-31
1.00,0.00,-0.00,-0.00,-5,-6,-25
1.00,0.00,-0.00,-0.00,-7,-7,-29
1.00,0.00,-0.00,-0.00,-10,-6,-31
1.00,0.00,-0.00,-0.00,-6,-7,-26
1.00,0.00,-0.00,-0.00,-4,0,-18
1.00,0.00,-0.00,-0.00,-6,1,-14
1.00,0.00,-0.00,-0.00,-9,2,-17
1.00,0.00,-0.00,-0.00,-12,2,-18
1.00,0.00,-0.00,-0.00,-12,0,-14
1.00,0.00,-0.00,-0.00,-14,-1,-19
1.00,0.00,-0.00,-0.00,-11,-1,-21
1.00,0.00,-0.00,-0.00,-5,-6,-23
1.00,0.00,-0.00,-0.00,-6,-5,-21
1.00,0.00,-0.00,-0.00,-4,-6,-20
1.00,0.00,-0.00,-0.00,-3,-9,-17
1.00,0.00,-0.00,-0.00,-4,-7,-20
1.00,0.00,-0.00,-0.00,-5,-10,-23
1.00,0.00,-0.00,-0.00,-4,-6,-26
1.00,0.00,-0.00,-0.00,-9,0,-26
1.00,0.00,-0.00,-0.00,-6,-1,-25
1.00,0.00,-0.00,-0.00,-6,-1,-21
1.00,0.00,-0.00,-0.00,-14,-1,-29
1.00,0.00,-0.00,-0.00,-9,0,-26
1.00,0.00,-0.00,-0.00,-13,-1,-26
1.00,0.00,-0.00,-0.00,-9,-5,-23
1.00,0.00,-0.00,-0.00,-9,-8,-24
1.00,0.00,-0.00,-0.00,-10,-13,-26
1.00,0.00,-0.00,-0.00,-14,-8,-23
1.00,0.00,-0.00,-0.00,-11,-7,-18
1.00,0.00,-0.00,-0.00,-10,-10,-20
1.00,0.00,-0.00,-0.00,-3,-14,-28
1.00,0.00,-0.00,-0.00,0,-11,-30
1.00,0.00,-0.00,-0.00,0,-7,-30
1.00,0.00,-0.00,-0.00,-3,-8,-31
1.00,0.00,-0.00,-0.00,0,-5,-18
1.00,0.00,-0.00,-0.00,-3,-8,-13
1.00,0.00,-0.00,-0.00,1,-11,-20
1.00,0.00,-0.00,-0.00,3,-11,-27
1.00,0.00,-0.00,-0.00,0,-7,-19
1.00,0.00,-0.00,-0.00,1,-7,-22
1.00,0.00,-0.00,-0.00,3,-6,-21
1.00,0.00,-0.00,-0.00,4,-7,-24
1.00,0.00,-0.00,-0.00,1,-11,-24
1.00,0.00,-0.00,-0.00,0,-8,-28
1.00,0.00,-0.00,-0.00,-1,-11,-28
1.00,0.00,-0.00,-0.00,-1,-9,-26
1.00,0.00,-0.00,-0.00,0,-6,-25
1.00,0.00,-0.00,-0.00,-1,-4,-20
1.00,0.00,-0.00,-0.00,0,-1,-20
1.00,0.00,-0.00,-0.00,0,0,-19
1.00,0.00,-0.00,-0.00,0,-1,-14
1.00,0.00,-0.00,-0.00,0,0,-14
1.00,0.00,-0.00,-0.00,-7,1,-10
1.00,0.00,-0.00,-0.00,-9,7,3
1.00,0.00,-0.00,-0.00,-11,5,0
1.00,0.00,-0.00,-0.00,-10,1,-2
1.00,0.00,-0.00,-0.00,-9,-1,-1
1.00,0.00,-0.00,-0.00,-1,1,-7
1.00,0.00,-0.00,-0.00,-3,4,-12
1.00,0.00,-0.00,-0.00,-2,0,-12
1.00,0.00,-0.00,-0.00,-3,3,-13
1.00,0.00,-0.00,-0.00,-1,0,-17
1.00,0.00,-0.00,-0.00,0,0,-15
1.00,0.00,-0.00,-0.00,-3,-3,-13
1.00,0.00,-0.00,-0.00,-3,-1,-11
1.00,0.00,-0.00,-0.00,-7,-3,-7
1.00,0.00,-0.00,-0.00,-8,-7,-11
1.00,0.00,-0.00,-0.00,-8,-8,-22
1.00,0.00,-0.00,-0.00,-3,-6,-21
1.00,0.00,-0.00,-0.00,0,-6,-26
1.00,0.00,-0.00,-0.00,0,-6,-24
1.00,0.00,-0.00,-0.00,0,-9,-25
1.00,0.00,-0.00,-0.00,-1,-6,-22
1.00,0.00,-0.00,-0.00,-1,-5,-21
1.00,0.00,-0.00,-0.00,-2,-3,-20
1.00,0.00,-0.00,-0.00,-2,-5,-24
1.00,0.00,-0.00,-0.00,-7,-2,-20
1.00,0.00,-0.00,-0.00,-10,0,-24
1.00,0.00,-0.00,-0.00,-5,-2,-19
1.00,0.00,-0.00,-0.00,-5,-1,-24
1.00,0.00,-0.00,-0.00,-4,0,-27
1.00,0.00,-0.00,-0.00,-1,0,-22
1.00,0.00,-0.00,-0.00,-1,-1,-25
1.00,0.00,-0.00,-0.00,4,4,-21
1.00,0.00,-0.00,-0.00,3,2,-16
