t,w,x,y,z,ax,ay,az
0,,
1,Revision @ user[16][6] = A5,Checking hardware revision...
2,>*......>......,Resetting memory bank selection to 0...
3,"//OFFSETS    -3389,     475,    3383,    -151,     -17,      78",//           X Accel  Y Accel  Z Accel   X Gyro   Y Gyro   Z Gyro
4,1.00,0.00,0.00,-0.00,0,-40,-5114
5,1.00,0.00,0.00,-0.00,20,-40,-3772
6,1.00,0.00,0.00,0.00,-1,-25,-2799
7,1.00,0.00,0.00,-0.00,0,-50,-2055
8,1.00,0.00,0.00,0.00,-5,-66,-1500
9,1.00,0.00,0.00,0.00,-10,-49,-1098
10,1.00,0.00,0.00,-0.00,15,-42,-817
11,1.00,0.00,0.00,-0.00,21,-40,-608
12,1.00,0.00,0.00,-0.00,-5,-61,-440
13,1.00,0.00,0.00,-0.00,9,-63,-331
14,1.00,0.00,0.00,-0.00,-10,-39,-251
15,1.00,0.00,0.00,-0.00,-29,-41,-167
16,1.00,0.00,0.00,-0.00,6,-41,-130
17,1.00,0.00,0.00,-0.00,22,-55,-98
18,1.00,0.00,0.00,-0.00,12,-75,-61
19,1.00,0.00,0.00,-0.00,0,-55,-46
20,1.00,0.00,0.00,-0.00,26,-19,-73
21,1.00,0.00,0.00,-0.00,5,-70,-34
22,1.00,0.00,0.00,-0.00,-7,-82,0
23,1.00,0.00,0.00,-0.00,3,-47,-14
24,1.00,0.00,0.00,-0.00,8,-31,-7
25,1.00,0.00,0.00,-0.00,-15,-44,12
26,1.00,0.00,0.00,-0.00,9,-21,-42
27,1.00,0.00,0.00,-0.00,6,-34,-24
28,1.00,0.00,0.00,-0.00,-14,-66,32
29,1.00,0.00,0.00,-0.00,-2,-45,7
30,1.00,0.00,0.00,-0.00,15,-22,-35
31,1.00,0.00,0.00,-0.00,-3,-63,8
32,1.00,0.00,0.00,-0.00,15,-62,-26
33,1.00,0.00,0.00,-0.00,3,-43,-23
34,1.00,0.00,0.00,-0.00,-8,-35,18
35,1.00,0.00,0.00,-0.00,-20,-20,7
36,1.00,0.00,0.00,-0.00,7,-26,-15
37,1.00,0.00,0.00,-0.00,21,-61,-2
38,1.00,0.00,0.00,-0.00,4,-71,12
39,1.00,0.00,0.00,-0.00,0,-31,-15
40,1.00,0.00,0.00,-0.00,-7,-44,0
41,1.00,0.00,0.00,-0.00,-8,-54,-17
42,1.00,0.00,0.00,-0.00,3,-49,18
43,1.00,0.00,0.00,-0.00,-3,-40,15
44,1.00,0.00,0.00,-0.00,-13,-32,-55
45,1.00,0.00,0.00,-0.00,-10,-4,-46
46,1.00,0.00,0.00,-0.00,-10,-41,12
47,1.00,0.00,0.00,-0.00,-11,-50,-3
48,1.00,0.00,0.00,-0.00,-1,-32,-32
49,1.00,0.00,0.00,-0.00,-9,-41,2
50,1.00,0.00,0.00,-0.00,-17,-26,-11
51,1.00,0.00,0.00,-0.00,-25,-35,-34
52,1.00,0.00,0.00,-0.00,6,-67,0
53,1.00,0.00,0.00,-0.00,19,-53,25
54,1.00,0.00,0.00,-0.00,11,-36,21
55,1.00,0.00,0.00,-0.00,10,-39,-10
56,1.00,0.00,0.00,-0.00,8,-38,-51
57,1.00,0.00,0.00,-0.00,-11,-33,-8
58,1.00,0.00,0.00,-0.00,-10,-35,17
59,1.00,0.00,0.00,-0.00,20,-21,-12
60,1.00,0.00,0.00,-0.00,29,-37,-1
61,1.00,0.00,0.00,-0.00,16,-59,12
62,1.00,0.00,0.00,-0.00,0,-31,-3
63,1.00,0.00,0.00,-0.00,1,-37,0
64,1.00,0.00,0.00,-0.00,18,-58,21
65,1.00,0.00,0.00,-0.00,24,-41,-13
66,1.00,0.00,0.00,-0.00,13,-34,-25
67,1.00,0.00,0.00,-0.00,8,-15,-12
68,1.00,0.00,0.00,-0.00,-12,-22,0
69,1.00,0.00,0.00,-0.00,-16,-49,-6
