,Resolution,4,,,,,,,,,,,,
time,Timestamp reduced res,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,Unique timestamp,Force.z
2022/10/27/22:18:55.564216,2022/10/27/22:18:55.56,5406480,1666934335,563469549,tool0_controller,-1.384449224,0.289470312,-0.304485677,0.007652011,0.016778486,0.006001227,,2022/10/27/22:18:55.56,-0.304485677
2022/10/27/22:18:55.565601,2022/10/27/22:18:55.56,5406481,1666934335,565399886,tool0_controller,-1.385703547,0.133531974,-0.528450831,0.009533446,0.01907295,0.003992741,,2022/10/27/22:18:55.57,-0.173561515
2022/10/27/22:18:55.567863,2022/10/27/22:18:55.56,5406482,1666934335,567430900,tool0_controller,-1.29209723,-0.248269612,-0.449729938,0.002563025,0.01896335,-0.006435343,,2022/10/27/22:18:55.58,-0.693007994
2022/10/27/22:18:55.569539,2022/10/27/22:18:55.56,5406483,1666934335,569388072,tool0_controller,-1.418614623,-0.08673742,-0.172604936,0.009169932,0.017702613,0.000435375,,2022/10/27/22:18:55.59,-0.871666702
2022/10/27/22:18:55.571781,2022/10/27/22:18:55.57,5406484,1666934335,571430111,tool0_controller,-1.473857981,-0.020783956,-0.173561515,0.010691222,0.023914697,0.001504331,,2022/10/27/22:18:55.60,-0.537218328
2022/10/27/22:18:55.574025,2022/10/27/22:18:55.57,5406485,1666934335,573476474,tool0_controller,-1.187403028,-0.16183683,-0.443213386,0.006503695,0.025601874,-0.002705925,,2022/10/27/22:18:55.61,-0.71853098
2022/10/27/22:18:55.575714,2022/10/27/22:18:55.57,5406486,1666934335,575539965,tool0_controller,-1.33194019,-0.034980743,-0.361673821,0.003867406,0.024357967,0.002091798,,2022/10/27/22:18:55.62,-0.435307811
2022/10/27/22:18:55.577970,2022/10/27/22:18:55.57,5406487,1666934335,577435862,tool0_controller,-1.306823429,-0.176268055,-0.381668643,0.008897628,0.016976764,0.002970397,,2022/10/27/22:18:55.63,-0.37856204
2022/10/27/22:18:55.579653,2022/10/27/22:18:55.57,5406488,1666934335,579396294,tool0_controller,-1.321359768,0.178382635,-0.527023943,0.006821091,0.019409514,0.01037328,,2022/10/27/22:18:55.64,-0.465932036
